gender,age,height,weight,region,hukou,education,health,appearance,iq,family_bg,assets,income
男,32.2,165.3,73.2,三线城市,三线户籍,9.0,优秀,51.3,92.1,工薪,6.14,317.09
男,41.7,166.6,55.9,三线城市,二线户籍,5.9,优秀,61.0,78.6,困难,6.34,9911694.66
女,32.3,157.0,62.6,农村地区,二线户籍,4.9,良好,44.7,97.6,中产,6.42,3093214.43
女,35.9,153.4,56.6,农村地区,三线户籍,6.9,优秀,58.3,95.5,工薪,2.07,2444.41
男,37.2,175.5,78.9,一线城市,二线户籍,8.4,良好,56.9,90.6,工薪,1.99,195039854728.18
女,32.9,159.6,63.0,三线城市,三线户籍,4.9,优秀,65.4,123.1,中产,11.67,20397563189323.3
男,37.2,163.5,80.4,一线城市,二线户籍,6.5,优秀,52.0,77.6,困难,4.73,5550272361.87
女,25.8,164.6,57.6,二线城市,三线户籍,7.8,一般,61.5,114.5,困难,5.25,123423.71
男,26.8,156.1,73.5,三线城市,三线户籍,5.8,较差,66.8,97.5,困难,15.77,0.01
男,30.5,160.5,69.7,农村地区,二线户籍,10.0,良好,57.1,104.5,工薪,11.69,27.47
男,41.2,167.2,83.8,二线城市,一线户籍,10.0,良好,46.8,101.2,工薪,6.74,33393465812.02
男,21.5,162.7,70.7,农村地区,农村户籍,7.7,优秀,46.2,123.2,工薪,4.76,130533.46
女,27.4,166.8,75.3,农村地区,农村户籍,6.0,一般,38.4,117.9,工薪,57.93,560.34
男,44.9,173.8,62.9,二线城市,农村户籍,7.7,良好,42.1,109.8,困难,3.78,8564109874.69
女,19.0,155.7,56.2,三线城市,三线户籍,4.6,良好,73.2,96.4,中产,52.0,709165891.67
女,28.2,154.6,58.9,农村地区,二线户籍,8.3,优秀,67.1,98.9,工薪,4.41,0.86
女,31.8,163.2,69.1,三线城市,三线户籍,4.5,优秀,75.9,100.8,困难,34.71,139591402817.63
女,34.6,162.6,85.8,二线城市,一线户籍,9.3,良好,74.3,109.8,富裕,8.35,6465150996.77
男,26.7,161.3,73.6,二线城市,三线户籍,6.7,优秀,46.6,95.0,富裕,79.24,11822440.26
女,18.0,170.7,60.1,一线城市,农村户籍,7.0,一般,50.1,112.8,工薪,4.71,1037822.77
男,32.5,170.0,66.8,三线城市,三线户籍,2.5,优秀,74.2,119.0,中产,19.16,48544880872863.87
女,22.6,162.2,61.2,二线城市,三线户籍,6.4,良好,11.4,84.6,富裕,9.0,12.46
